COD. INTERNO,DESCRIPCION,PRECIO USD,PRECIO ARS,unidad,,,,,,,,,,,,,,
FI-GP3PLA,GRUPO PRAMEZ - Ficha blanca y gris - 3 pernos planos c/prensa,"0,183",275,,,,,,,,,,,,,,,
,EL MUNDO DEL CABLE - Ficha blanca y gris - 3 pernos planos c/prensa,"0,178",267,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CHICOTES ZAP,,,,,,,,,,,,,,,,,,
CH-ZP05PH28,Chicote celeste y verde 70mm c/terminal PH 2.8 ,"0,030",45,,,,,,,,,,,,,,,
,"Chicote marron 70mm c/terminal PH 2,8","0,030",45,,,,,,,,,,,,,,,
CH-ZP05PH63,Chicote marron 70mm c/terminal PH 6.3,"0,046",68,,,,,,,,,,,,,,,
CH-ZP05PH6328,Chicote marron 70mm c/terminal PH 2.8 y 6.3,"0,065",97,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CABLES ZAP,,,,,,,,,,,,,,,,,,
CB-ZP15B,"ZAP - 3 x 0,5 vaina red. blanc con ficha y term PH 2,8-6,35 - 1,4mts","0,601",901,,,,,,,,,,,,,,,
CB-ZP3B,"ZAP - 3 x 0,5 vaina red. blanc con ficha y term PH 2,8-6,35 - 3mts","0,990",1485,,,,,,,,,,,,,,,
CB-ZP5B,"ZAP - 3 x 0,5 vaina red. blanc con ficha y term PH 2,8-6,35 - 5mts","1,477",2215,,,,,,,,,,,,,,,
